hhid14_9,edu_level,pidlink
3243100,2,3243103
3243100,3,3243103
3243206,1,3243206
3243206,2,3243206
3243206,3,3243206
3250000,1,3250007
3250000,2,3250007
3250000,3,3250007
3250000,1,3250009
3250000,2,3250009
3250000,3,3250009
3260005,4,3260005
3260005,,3260005
3260005,,3260005
3260005,,3260005
3260006,3,3260006
3260006,,3260006
3260006,,3260006
3260008,1,3260008
3260008,2,3260008
3260008,3,3260008
3260008,4,3260008
3260004,1,3265102
3260004,2,3265102
3260004,3,3265102
3260005,1,3265202
3260005,2,3265202
3260005,3,3265202
3270000,1,3270003
3270000,2,3270003
3270000,3,3270003
3270000,1,3270006
3270000,2,3270006
3270000,3,3270006
3280000,4,3280003
3280000,,3280003
3280000,,3280003
3280000,,3280003
3280000,1,3280005
3280000,2,3280005
3280000,3,3280005
3294100,1,3290005
3294100,2,3290005
3294100,3,3290005
3294100,4,3290005
3290000,1,3290006
3290000,2,3290006
3290000,3,3290006
3294100,1,3294106
3294100,2,3294106
3294100,3,3294106
4010000,4,4010002
4010000,,4010002
4010000,,4010002
4010000,,4010002
4010003,1,4010003
4010003,2,4010003
4010003,3,4010003
4010003,4,4010003
4010005,1,4010005
4010005,2,4010005
4010005,3,4010005
4010005,4,4010005
4020007,3,4020007
4020007,,4020007
4020007,,4020007
4020008,1,4020008
4020008,2,4020008
4020008,3,4020008
4020000,1,4020009
4020000,2,4020009
4024100,1,4024104
4024100,2,4024104
4024100,3,4024104
4020008,1,4025201
4020008,2,4025201
4020008,3,4025201
4032100,3,4030008
4032100,,4030008
4032100,,4030008
4030000,1,4030009
4030000,1,4030010
4030000,2,4030010
4030000,3,4030010
4030011,1,4030011
4030011,2,4030011
4030011,3,4030011
4040000,1,4040011
4040000,2,4040011
4040000,3,4040011
4040006,1,4045102
4040006,2,4045102
4040006,3,4045102
4050003,1,4050003
4050003,2,4050003
4050003,3,4050003
4050004,1,4050004
4050004,2,4050004
4050004,3,4050004
4050004,4,4050004
4050006,1,4050006
4050006,2,4050006
4050006,3,4050006
4050003,1,4055102
4050003,2,4055102
4050003,3,4055102
4060004,1,4060004
4060004,2,4060004
4060004,3,4060004
4060005,1,4060005
4060005,2,4060005
4060005,3,4060005
4060005,4,4060005
4060003,1,4065102
4060003,2,4065102
4060003,3,4065102
4060004,1,4065202
4060004,2,4065202
4060004,3,4065202
4060005,1,4065302
4060005,2,4065302
4060005,3,4065302
4060005,4,4065302
4070000,1,4070007
4070000,2,4070007
4070000,3,4070007
4070000,1,4070012
4070000,2,4070012
4100006,1,4100006
4100006,2,4100006
4100006,3,4100006
4100008,4,4100008
4100008,,4100008
4100008,,4100008
4100008,,4100008
4100000,3,4100009
4100000,,4100009
4100000,,4100009
4102100,1,4102101
4102100,2,4102101
4102100,3,4102101
4102104,1,4102104
4102104,2,4102104
4102104,3,4102104
4103100,1,4103103
4103100,2,4103103
4103100,3,4103103
4103100,1,4103104
4103100,2,4103104
4103100,3,4103104
4100006,1,4105102
4100006,2,4105102
4100008,1,4105202
4100008,2,4105202
4100008,3,4105202
4111100,1,4110003
4111100,2,4110003
4111100,3,4110003
4111100,1,4111103
4111100,2,4111103
4111100,3,4111103
4111100,4,4111103
4130006,1,4130006
4130006,2,4130006
4130000,1,4130007
4130000,2,4130007
4132100,4,4132102
4132100,,4132102
4132100,,4132102
4132100,,4132102
4140005,1,4140005
4140005,2,4140005
4140005,3,4140005
4140006,1,4140006
4140006,2,4140006
4140006,3,4140006
4140007,1,4140007
4140007,2,4140007
4140007,3,4140007
4140007,4,4140007
4140005,3,4140011
4140005,,4140011
4140005,,4140011
4150000,4,4150003
4150000,,4150003
4150000,,4150003
4150000,,4150003
4150000,4,4150004
4150000,,4150004
4150000,,4150004
4150000,,4150004
4150007,1,4150007
4150007,2,4150007
4150007,3,4150007
4160003,4,4160003
4160003,,4160003
4160003,,4160003
4160003,,4160003
4160004,3,4160004
4160004,4,4160004
4160004,,4160004
4160004,,4160004
4160005,1,4160005
4160005,2,4160005
4160005,3,4160005
4160005,4,4160005
4194100,1,4194102
4194100,2,4194102
4194100,3,4194102
4204100,3,4200003
4204100,4,4200003
4204100,,4200003
4204100,,4200003
4204100,1,4200004
4204100,2,4200004
4204100,3,4200004
4204100,4,4200004
4220003,1,4220003
4220003,2,4220003
4220003,3,4220003
4220003,1,4225102
4220003,2,4225102
4220003,3,4225102
4264100,1,4260008
4264100,2,4260008
4264100,3,4260008
4260000,1,4260015
4260000,2,4260015
4260000,3,4260015
4274100,1,4270006
4274100,2,4270006
4274100,3,4270006
4274100,1,4274103
4274100,2,4274103
4274100,1,4274105
4274100,2,4274105
4280007,1,4280007
4280007,2,4280007
4280007,3,4280007
4290005,1,4295102
4290005,2,4295102
4290005,3,4295102
4290005,4,4295102
4302200,1,4302205
4302200,2,4302205
4302200,3,4302205
5030000,1,5030003
5030000,2,5030003
5030000,3,5030003
5030000,1,5030006
5030000,2,5030006
5030000,3,5030006
5034100,1,5034101
5034100,2,5034101
5044200,1,5040005
5044200,2,5040005
5044200,3,5040005
5040000,1,5043103
5040000,2,5043103
5040000,3,5043103
5050000,1,5050003
5050000,2,5050003
5050000,3,5050003
5060000,1,5060007
5060000,2,5060007
5060003,1,5065102
5060003,2,5065102
5090010,1,5090010
5090010,2,5090010
5090010,3,5090010
5090000,1,5090015
5090000,2,5090015
5090000,3,5090015
5090005,1,5095102
5090005,2,5095102
5090010,1,5095201
5090010,2,5095201
5090010,3,5095201
5090010,4,5095201
5104100,1,5100003
5100000,1,5100005
5104100,1,5104101
5111100,1,5110003
5111100,2,5110003
5110000,1,5110006
5110000,2,5110006
5110000,3,5110006
5110000,1,5110008
5110000,2,5110008
