pidlink,rural_no_migration,urban_no_migration,urban_to_rural_migration,rural_to_urban_migration,rural_to_rural_migration,urban_to_urban_migration
6060005.0,0,1,0,0,0,0
6070001.0,1,0,0,0,0,0
6070002.0,1,0,0,0,0,0
6070003.0,1,0,0,0,0,0
6070004.0,1,0,0,0,0,0
6080001.0,0,1,0,0,0,0
6080002.0,0,0,0,0,0,1
6090001.0,1,0,0,0,0,0
6090002.0,1,0,0,0,0,0
6100002.0,1,0,0,0,0,0
6110002.0,0,0,1,0,0,0
6110003.0,0,1,0,0,0,0
6113102.0,0,1,0,0,0,0
6120001.0,1,0,0,0,0,0
6120002.0,1,0,0,0,0,0
6120003.0,1,0,0,0,0,0
6130004.0,0,1,0,0,0,0
6130005.0,0,1,0,0,0,0
6140002.0,0,1,0,0,0,0
6160002.0,0,1,0,0,0,0
6170001.0,0,0,0,0,1,0
6170002.0,1,0,0,0,0,0
6170006.0,0,0,0,0,1,0
6180003.0,1,0,0,0,0,0
6190001.0,0,1,0,0,0,0
6190002.0,0,1,0,0,0,0
6190005.0,0,1,0,0,0,0
6190006.0,0,0,0,1,0,0
6200001.0,1,0,0,0,0,0
7030002.0,1,0,0,0,0,0
7030006.0,1,0,0,0,0,0
7030007.0,1,0,0,0,0,0
7030003.0,1,0,0,0,0,0
7033101.0,0,0,0,0,1,0
7040002.0,1,0,0,0,0,0
7050004.0,0,0,0,0,1,0
7060001.0,1,0,0,0,0,0
7060002.0,1,0,0,0,0,0
7070002.0,1,0,0,0,0,0
7070003.0,1,0,0,0,0,0
7072102.0,1,0,0,0,0,0
7080003.0,0,0,0,0,0,1
7080004.0,0,1,0,0,0,0
7100002.0,1,0,0,0,0,0
7110004.0,1,0,0,0,0,0
7110005.0,1,0,0,0,0,0
7130001.0,1,0,0,0,0,0
7130002.0,1,0,0,0,0,0
7140001.0,1,0,0,0,0,0
7140002.0,1,0,0,0,0,0
7140005.0,0,0,1,0,0,0
7140004.0,0,0,1,0,0,0
7150002.0,1,0,0,0,0,0
7150004.0,1,0,0,0,0,0
7160001.0,1,0,0,0,0,0
7160002.0,1,0,0,0,0,0
7180001.0,1,0,0,0,0,0
7180002.0,1,0,0,0,0,0
7180005.0,0,0,0,0,1,0
7180004.0,0,0,1,0,0,0
7200001.0,1,0,0,0,0,0
7200002.0,1,0,0,0,0,0
7220001.0,1,0,0,0,0,0
7220002.0,0,0,0,0,1,0
7230004.0,0,0,0,0,1,0
7230003.0,1,0,0,0,0,0
7233102.0,1,0,0,0,0,0
7240002.0,1,0,0,0,0,0
7240004.0,1,0,0,0,0,0
7250004.0,1,0,0,0,0,0
7250005.0,1,0,0,0,0,0
7260001.0,1,0,0,0,0,0
7260002.0,1,0,0,0,0,0
7280002.0,1,0,0,0,0,0
7290001.0,1,0,0,0,0,0
7290002.0,1,0,0,0,0,0
8010001.0,1,0,0,0,0,0
8010002.0,1,0,0,0,0,0
8020001.0,1,0,0,0,0,0
8020002.0,1,0,0,0,0,0
8020008.0,0,0,0,0,1,0
8030001.0,1,0,0,0,0,0
8030002.0,1,0,0,0,0,0
8030004.0,0,0,0,0,1,0
8033102.0,0,1,0,0,0,0
8033103.0,0,1,0,0,0,0
8040001.0,1,0,0,0,0,0
8040002.0,1,0,0,0,0,0
8040004.0,1,0,0,0,0,0
8043102.0,0,0,0,0,1,0
8050001.0,1,0,0,0,0,0
8050002.0,1,0,0,0,0,0
8050003.0,1,0,0,0,0,0
8060002.0,1,0,0,0,0,0
8060003.0,0,0,0,0,1,0
8070001.0,1,0,0,0,0,0
8070002.0,1,0,0,0,0,0
8080001.0,1,0,0,0,0,0
8080002.0,1,0,0,0,0,0
8080006.0,0,0,0,0,1,0
8080003.0,1,0,0,0,0,0
8083101.0,1,0,0,0,0,0
8090002.0,0,1,0,0,0,0
8100001.0,1,0,0,0,0,0
8100002.0,1,0,0,0,0,0
8100005.0,1,0,0,0,0,0
8110001.0,1,0,0,0,0,0
