pidlink,age,male,edu_level,rural,smoking,rural_no_migration,urban_no_migration,urban_to_rural_migration,rural_to_urban_migration,rural_to_rural_migration,urban_to_urban_migration,never_smoking,always_smoking,started_smoking
3010008,23,0,3,1,0,,,,,,,1,0,0
3010009,19,1,3,1,0,,,,,,,,,
3014101,39,1,,1,0,,,,,,,1,0,0
3015102,28,1,2,1,1,,,,,,,,,
3015202,27,1,,1,0,,,,,,,,,
3015301,23,1,1,1,1,,,,,,,,,
3020001,47,1,,1,1,1,0,0,0,0,0,0,1,0
3020002,49,0,1,1,0,,,,,,,,,
3020003,29,1,3,1,1,,,,,,,,,
3020004,27,1,2,1,1,,,,,,,,,
3020005,24,0,3,1,0,1,0,0,0,0,0,0,0,0
3020006,22,1,2,1,0,,,,,,,,,
3020007,20,1,2,1,1,,,,,,,,,
3020008,19,1,2,1,0,,,,,,,,,
3030003,40,1,,1,1,1,0,0,0,0,0,0,0,1
3030005,36,0,,1,1,1,0,0,0,0,0,0,0,1
3030007,40,0,,1,0,1,0,0,0,0,0,0,0,0
3030008,15,1,3,1,0,,,,,,,,,
3031204,18,1,3,1,1,,,,,,,,,
3040001,47,1,1,1,1,,,,,,,,,
3040002,44,0,,1,0,1,0,0,0,0,0,0,0,0
3040003,25,0,3,1,0,,,,,,,1,0,0
3040004,22,0,4,1,0,1,0,0,0,0,0,1,0,0
3040005,19,0,3,1,0,,,,,,,,,
3040006,17,0,3,1,0,,,,,,,,,
3040007,16,0,3,1,0,,,,,,,,,
3045101,27,1,2,1,1,,,,,,,,,
3050001,77,1,,1,0,1,0,0,0,0,0,1,0,0
3050002,63,0,,1,0,1,0,0,0,0,0,1,0,0
3050003,39,0,3,1,0,,,,,,,,,
3050004,34,0,,1,0,,,,,,,1,0,0
3050005,33,1,,1,1,1,0,0,0,0,0,0,0,1
3050006,31,1,,0,1,,,,,,,0,1,0
3050007,26,0,,1,0,0,0,0,0,1,0,0,0,0
3050008,24,0,3,1,0,0,0,0,0,1,0,1,0,0
3050009,18,0,3,0,0,,,,,,,,,
3050010,26,1,3,1,1,,,,,,,,,
3054101,39,1,,1,1,,,,,,,0,0,1
3055101,42,1,2,1,1,,,,,,,,,
3055202,30,0,3,0,0,,,,,,,,,
3070002,51,0,,1,0,0,0,0,0,1,0,0,0,0
3070005,94,0,,1,0,,,,,,,,,
3080002,52,0,,1,0,1,0,0,0,0,0,0,0,0
3080006,27,1,,1,1,,,,,,,0,0,1
3080009,18,1,2,1,1,,,,,,,,,
3090002,63,0,,1,0,1,0,0,0,0,0,1,0,0
3090005,35,1,3,1,1,,,,,,,,,
3090006,30,0,4,1,0,,,,,,,1,0,0
3090008,43,1,,1,1,1,0,0,0,0,0,0,0,1
3090019,20,0,3,1,0,,,,,,,,,
3094102,32,1,3,1,0,,,,,,,,,
3100002,69,0,,1,0,,,,,,,,,
3100003,40,0,,1,0,1,0,0,0,0,0,1,0,0
3100004,43,1,,1,1,,,,,,,0,0,1
3100005,35,0,2,1,0,,,,,,,,,
3100006,43,0,,1,1,,,,,,,0,1,0
3104103,19,1,2,1,1,,,,,,,,,
3104201,36,1,,1,1,,,,,,,0,1,0
3110001,45,1,1,1,1,,,,,,,,,
3110002,48,0,,1,1,1,0,0,0,0,0,0,1,0
3110003,26,0,3,1,0,,,,,,,,,
3110004,24,1,,1,1,,,,,,,0,1,0
3110005,18,0,2,1,0,,,,,,,,,
3115101,28,1,3,1,1,,,,,,,,,
3120001,47,1,,1,1,1,0,0,0,0,0,0,1,0
3120002,50,0,,1,0,1,0,0,0,0,0,0,0,0
3120003,26,0,4,1,0,,,,,,,1,0,0
3120004,24,1,4,0,0,,,,,,,1,0,0
3120005,33,0,,1,0,1,0,0,0,0,0,0,0,0
3121103,18,1,3,1,0,,,,,,,,,
3121104,16,0,3,1,0,,,,,,,,,
3130001,55,1,,1,1,,,,,,,0,0,1
3130002,47,0,,1,0,0,0,0,0,1,0,0,0,0
3130003,28,1,,0,1,,,,,,,0,0,1
3130007,18,1,3,1,1,,,,,,,,,
3134105,28,0,3,0,0,,,,,,,,,
3140002,68,0,,1,0,,,,,,,,,
3140004,33,0,,1,0,1,0,0,0,0,0,1,0,0
3140005,48,1,,1,1,1,0,0,0,0,0,0,0,1
3140006,47,0,,1,0,1,0,0,0,0,0,0,0,0
3143101,36,1,,1,1,,,,,,,0,1,0
3150001,61,0,,1,0,1,0,0,0,0,0,0,0,0
3150002,37,0,,1,0,1,0,0,0,0,0,1,0,0
3150003,28,0,,0,0,,,,,,,1,0,0
3153101,40,1,,1,1,1,0,0,0,0,0,0,0,1
3153103,16,0,3,1,0,,,,,,,,,
3155101,35,1,3,0,1,,,,,,,,,
3170001,60,0,,1,0,,,,,,,,,
3170002,42,0,,1,0,,,,,,,0,0,0
3170003,39,1,3,1,1,,,,,,,,,
3170004,38,1,,0,1,,,,,,,0,0,1
