pidlink,age,male,edu_level,rural,smoking,rural_no_migration,urban_no_migration,urban_to_rural_migration,rural_to_urban_migration,rural_to_rural_migration,urban_to_urban_migration,never_smoking,always_smoking,started_smoking
2180005.0,45.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2180006.0,26.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2180007.0,24.0,0.0,1.0,1.0,0.0,,,,,,,1.0,0.0,0.0
2180010.0,19.0,0.0,3.0,1.0,0.0,,,,,,,,,
2183101.0,49.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2184101.0,27.0,1.0,1.0,1.0,0.0,,,,,,,1.0,0.0,0.0
2190001.0,81.0,0.0,0.0,1.0,0.0,,,,,,,,,
2190002.0,56.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2190003.0,46.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2190004.0,21.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2190005.0,19.0,0.0,3.0,0.0,0.0,,,,,,,,,
2190006.0,15.0,0.0,1.0,1.0,0.0,,,,,,,,,
2190012.0,30.0,1.0,0.0,1.0,1.0,,,,,,,,,
2190013.0,30.0,0.0,1.0,1.0,0.0,,,,,,,,,
2200001.0,54.0,1.0,4.0,1.0,1.0,,,,,,,,,
2200002.0,47.0,0.0,2.0,1.0,0.0,,,,,,,,,
2200003.0,25.0,1.0,4.0,1.0,1.0,,,,,,,,,
2200004.0,23.0,1.0,4.0,1.0,0.0,,,,,,,,,
2210001.0,71.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2210008.0,52.0,0.0,0.0,1.0,0.0,,,,,,,,,
2220001.0,41.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2220002.0,39.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2220004.0,17.0,1.0,3.0,1.0,1.0,,,,,,,,,
2250002.0,48.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2250004.0,28.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2250005.0,26.0,1.0,4.0,1.0,1.0,,,,,,,,,
2250006.0,25.0,0.0,4.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2250009.0,67.0,0.0,0.0,1.0,0.0,,,,,,,,,
2250010.0,25.0,0.0,4.0,1.0,0.0,,,,,,,,,
2260001.0,71.0,1.0,0.0,1.0,0.0,,,,,,,1.0,0.0,0.0
2260002.0,61.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2260005.0,31.0,0.0,1.0,1.0,1.0,,,,,,,,,
2260008.0,22.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2260011.0,18.0,0.0,1.0,1.0,0.0,,,,,,,,,
2270005.0,20.0,0.0,4.0,0.0,0.0,,,,,,,,,
2290001.0,47.0,1.0,1.0,1.0,0.0,,,,,,,0.0,0.0,0.0
2290002.0,44.0,0.0,0.0,,,,,,,,,,,
2290003.0,26.0,1.0,3.0,,,,,,,,,,,
2290007.0,45.0,1.0,1.0,1.0,1.0,,,,,,,0.0,0.0,1.0
2294202.0,17.0,0.0,0.0,1.0,0.0,,,,,,,,,
2294203.0,16.0,0.0,1.0,1.0,0.0,,,,,,,,,
2295103.0,17.0,0.0,2.0,,,,,,,,,,,
2300007.0,30.0,0.0,1.0,1.0,1.0,,,,,,,,,
2300014.0,34.0,1.0,1.0,1.0,0.0,,,,,,,,,
3010001.0,66.0,1.0,1.0,1.0,0.0,,,,,,,1.0,0.0,0.0
3010002.0,55.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3010004.0,36.0,0.0,1.0,1.0,0.0,,,,,,,1.0,0.0,0.0
3010005.0,31.0,0.0,3.0,1.0,0.0,,,,,,,,,
3010007.0,25.0,0.0,3.0,1.0,0.0,,,,,,,1.0,0.0,0.0
3010008.0,23.0,0.0,3.0,1.0,0.0,,,,,,,1.0,0.0,0.0
3010009.0,19.0,1.0,3.0,1.0,0.0,,,,,,,,,
3014101.0,39.0,1.0,3.0,1.0,0.0,,,,,,,1.0,0.0,0.0
3015102.0,28.0,1.0,2.0,1.0,1.0,,,,,,,,,
3015202.0,27.0,1.0,,1.0,0.0,,,,,,,,,
3015301.0,23.0,1.0,1.0,1.0,1.0,,,,,,,,,
3020001.0,47.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3020002.0,49.0,0.0,1.0,1.0,0.0,,,,,,,,,
3020003.0,29.0,1.0,3.0,1.0,1.0,,,,,,,,,
3020004.0,27.0,1.0,2.0,1.0,1.0,,,,,,,,,
3020005.0,24.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3020006.0,22.0,1.0,3.0,1.0,0.0,,,,,,,,,
3020007.0,20.0,1.0,2.0,1.0,1.0,,,,,,,,,
3020008.0,19.0,1.0,2.0,1.0,0.0,,,,,,,,,
3030003.0,40.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3030005.0,36.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3030007.0,40.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3030008.0,15.0,1.0,3.0,1.0,0.0,,,,,,,,,
3031204.0,18.0,1.0,3.0,1.0,1.0,,,,,,,,,
3040001.0,47.0,1.0,1.0,1.0,1.0,,,,,,,,,
3040002.0,44.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3040003.0,25.0,0.0,3.0,1.0,0.0,,,,,,,1.0,0.0,0.0
3040004.0,22.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3040005.0,19.0,0.0,3.0,1.0,0.0,,,,,,,,,
3040006.0,17.0,0.0,3.0,1.0,0.0,,,,,,,,,
3040007.0,16.0,0.0,3.0,1.0,0.0,,,,,,,,,
3045101.0,27.0,1.0,2.0,1.0,1.0,,,,,,,,,
3050001.0,77.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3050002.0,63.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3050003.0,39.0,0.0,3.0,1.0,0.0,,,,,,,,,
3050004.0,34.0,0.0,3.0,1.0,0.0,,,,,,,1.0,0.0,0.0
3050005.0,33.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3050006.0,31.0,1.0,3.0,0.0,1.0,,,,,,,0.0,1.0,0.0
3050007.0,26.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3050008.0,24.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
3050009.0,18.0,0.0,3.0,0.0,0.0,,,,,,,,,
3050010.0,26.0,1.0,3.0,1.0,1.0,,,,,,,,,
3054101.0,39.0,1.0,3.0,1.0,1.0,,,,,,,0.0,0.0,1.0
3055101.0,42.0,1.0,2.0,1.0,1.0,,,,,,,,,
3055202.0,30.0,0.0,3.0,0.0,0.0,,,,,,,,,
3070002.0,51.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3070005.0,94.0,0.0,1.0,1.0,0.0,,,,,,,,,
3080002.0,52.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3080006.0,27.0,1.0,2.0,1.0,1.0,,,,,,,0.0,0.0,1.0
3080009.0,18.0,1.0,3.0,1.0,1.0,,,,,,,,,
3090002.0,63.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3090005.0,35.0,1.0,3.0,1.0,1.0,,,,,,,,,
3090006.0,30.0,0.0,4.0,1.0,0.0,,,,,,,1.0,0.0,0.0
3090008.0,43.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3090019.0,20.0,0.0,3.0,1.0,0.0,,,,,,,,,
3094102.0,32.0,1.0,3.0,1.0,0.0,,,,,,,,,
3100002.0,69.0,0.0,1.0,1.0,0.0,,,,,,,,,
3100003.0,40.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3100004.0,43.0,1.0,3.0,1.0,1.0,,,,,,,0.0,0.0,1.0
3100005.0,35.0,0.0,2.0,1.0,0.0,,,,,,,,,
3100006.0,43.0,0.0,3.0,1.0,1.0,,,,,,,0.0,1.0,0.0
3104103.0,19.0,1.0,3.0,1.0,1.0,,,,,,,,,
3104201.0,36.0,1.0,3.0,1.0,1.0,,,,,,,0.0,1.0,0.0
3110001.0,45.0,1.0,1.0,1.0,1.0,,,,,,,,,
3110002.0,48.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3110003.0,26.0,0.0,3.0,1.0,0.0,,,,,,,,,
3110004.0,24.0,1.0,2.0,1.0,1.0,,,,,,,0.0,1.0,0.0
3110005.0,18.0,0.0,2.0,1.0,0.0,,,,,,,,,
3115101.0,28.0,1.0,3.0,1.0,1.0,,,,,,,,,
3120001.0,47.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3120002.0,50.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3120003.0,26.0,0.0,4.0,1.0,0.0,,,,,,,1.0,0.0,0.0
